atc_code;atc_name;conceptId;rx_norm_conceptName
J02AA01;AMFOTERICINA B;1717240;amphotericin B
J01GB06;AMIKACINA;1790868;amikacin
J01CA04;AMOXICILINA;1713332;amoxicillin
J01CR02;"AMOXICILINA; CLAVULANICO ACIDO";40105046;amoxicillin / clavulanate Oral Tablet
J01CA01;AMPICILINA;1717327;ampicillin
J01CR01;"AMPICILINA; SULBACTAM";590408;Ampicillin / Sulbactam Oral Tablet
J02AX06;ANIDULAFUNGINA;19026450;anidulafungin
J01FA10;AZITROMICINA;1734104;azithromycin
J01DF01;AZTREONAM;1715117;aztreonam
J04AK05;BEDAQUILINA;43012518;bedaquiline
J01CE01;BENCILPENICILINA;1728416;penicillin G
J01CE08;BENCILPENICILINA-BENZATINA;1728416;penicillin G
J04AB30;CAPREOMICINA;19026710;capreomycin
J01CA03;CARBENICILINA;1740546;carbenicillin
J01CA05;CARINDACILINA ;1740546;carbenicillin
J02AX04;CASPOFUNGINA;1718054;caspofungin
J01DB10;CEFACETRILO ;40798709;Cefacetrile
J01DC04;CEFACLOR;1768849;cefaclor
J01DB05;CEFADROXILO;1769535;cefadroxil
J01DB01;CEFALEXINA;1786621;cephalexin
J01DB02;CEFALORIDINA ;19052683;cephaloridine
J01DB03;CEFALOTINA ;19086759;cephalothin
J01DC03;CEFAMANDOL ;19070174;cefamandole
J01DB08;CEFAPIRINA ;19086790;cephapirin
J01DB04;CEFAZOLINA;1771162;cefazolin
J01DD16;CEFDITORENO;1747005;cefditoren
J01DE01;CEFEPIMA;1748975;cefepime
J01DI04;CEFIDEROCOL;37498010;cefiderocol
J01DD08;CEFIXIMA;1796435;cefixime
J01DC09;CEFMETAZOL ;19072255;cefmetazole
J01DC12;CEFMINOX;36860550;CEFMINOX
J01DC06;CEFONICID;19072857;cefonicid
J01DD12;CEFOPERAZONA ;1773402;cefoperazone
J01DD62;CEFOPERAZONA + INHIBIDOR BETALACTAMASA;35136564;Cefoperazone / Sulbactam Injectable Solution
J01DD01;CEFOTAXIMA;1774470;cefotaxime
J01DC01;CEFOXITINA;1775741;cefoxitin
J01DD13;CEFPODOXIMA;1749008;cefpodoxime
J01DB09;CEFRADINA ;1786842;cephradine
J01DI02;CEFTAROLINA;40230597;ceftaroline
J01DD02;CEFTAZIDIMA;1776684;ceftazidime
J01DD52;"CEFTAZIDIMA; AVIBACTAM";40745139;avibactam / Ceftazidime Injectable Solution
J01DD14;CEFTIBUTENO ;1749083;ceftibuten
J01DD07;CEFTIZOXIMA ;1777254;ceftizoxime
J01DI01;CEFTOBIPROL;36878858;Ceftobiprole
J01DI54;"CEFTOLOZANO; TAZOBACTAM";41298609;ceftolozane / tazobactam Injectable Solution
J01DD04;CEFTRIAXONA;1777806;ceftriaxone
J01DC02;CEFUROXIMA;1778162;cefuroxime
J04AB01;CICLOSERINA;1710446;cycloserine
J01MA02;CIPROFLOXACINO;1797513;ciprofloxacin
J01FA09;CLARITROMICINA;1750500;clarithromycin
J01FF01;CLINDAMICINA;997881;clindamycin
J04BA01;CLOFAZIMINA;1798476;clofazimine
J01BA01;CLORAMFENICOL ;990069;chloramphenicol
J01AA03;CLORTETRACICLINA ;19095043;chlortetracycline
J01CF02;CLOXACILINA;1800835;cloxacillin
J01XB01;COLISTINA;901845;colistin
J01EE01;COTRIMOXAZOL (SULFAMETOXAZOL + TRIMETOPRIMA);43763616;Sulfamethoxazole / Trimethoprim Oral Tablet [Cotrimoxazol Al]
J01XA04;DALBAVANCINA;45774861;dalbavancin
J01XX09;DAPTOMICINA;1786617;daptomycin
J01MA23;DELAFLOXACINO;1592954;delafloxacin
J04AK06;DELAMANID;36879076;Delamanid
J01AA01;DEMECLOCICLINA ;1714527;demeclocycline
J01GB09;DIBEKACINA ;19023508;dibekacin
J01CF01;DICLOXACILINA ;1724666;dicloxacillin
J01FA13;DIRITROMICINA ;1790024;dirithromycin
J01AA02;DOXICICLINA;1738521;doxycycline
J01MA04;ENOXACINO ;1743222;enoxacin
J01AA13;ERAVACICLINA;35200469;eravacycline
J01FA01;ERITROMICINA;1746940;erythromycin
J01DH03;ERTAPENEM;1717963;ertapenem
J01XX04;ESPECTINOMICINA ;1701651;spectinomycin
J01FA02;ESPIRAMICINA;19070251;spiramycin
J01RA04;"ESPIRAMICINA; METRONIDAZOL";40062184;metronidazole / spiramycin Oral Tablet
J01GA01;ESTREPTOMICINA;1836191;streptomycin
J04AK02;ETAMBUTOL;1749301;ethambutol
J04AD03;ETIONAMIDA;1750074;ethionamide
J01EB20;"FENAZOPIRIDINA; SULFAMETIZOL";40069477;phenazopyridine / sulfamethizole Oral Tablet
J01CE02;FENOXIMETILPENICILINA;1729720;penicillin V
J01CE10;FENOXIMETILPENICILINA-BENZATINA;1729720;penicillin V
J01CF05;FLUCLOXACILINA ;19054936;floxacillin
J02AC01;FLUCONAZOL;1754994;fluconazole
J01XX01;FOSFOMICINA;956653;fosfomycin
J01XC01;FUSIDATO;19010400;fusidate
J01GB03;GENTAMICINA;45892419;gentamicin
J01MA11;GREPAFLOXACINO ;1747032;grepafloxacin
J01DH51;IMIPENEM;1778262;imipenem
J01DH56;"IMIPENEM; RELEBACTAM";1361538;cilastatin / imipenem / relebactam Injection
J02AC05;ISAVUCONAZOL SULFATO;46221284;isavuconazonium
J04AC01;ISONIAZIDA;1782521;isoniazid
J02AC02;ITRACONAZOL;1703653;itraconazole
J01FA07;JOSAMICINA;19123240;josamycin
J01GB04;KANAMICINA;1784749;kanamycin
J01DD06;LATAMOXEF ;19126622;moxalactam
J01MA12;LEVOFLOXACINO;1742253;levofloxacin
J01AA04;LIMECICLINA;19092353;lymecycline
J01FF02;LINCOMICINA;1790692;lincomycin
J01XX08;LINEZOLID;1736887;linezolid
J01CA11;MECILLINAM ;19123877;amdinocillin
J01DH02;MEROPENEM;1709170;meropenem
J01DH52;"MEROPENEM; VABORBACTAM";792534;meropenem / vaborbactam Injection
J01CA14;METAMPICILINA ;19072054;methampicillin
J01XD01;METRONIDAZOL;1707164;metronidazole
J01CA10;MEZLOCILINA ;19007701;mezlocillin
J02AX05;MICAFUNGINA SODICA;19018013;micafungin
J01AA08;MINOCICLINA;1708880;minocycline
J01FA11;MIOCAMICINA ;19009138;miocamycin
J01MA14;MOXIFLOXACINO;1716903;moxifloxacin
J01MB02;NALIDIXICO ACIDO ;986864;nalidixate
J01GB07;NETILMICINA ;19017585;netilmicin
J01XE01;NITROFURANTOINA;920293;nitrofurantoin
J01XX07;NITROXOLINA;19015464;nitroxoline
J01MA06;NORFLOXACINO;1721543;norfloxacin
J01MA01;OFLOXACINO;923081;ofloxacin
J01XA05;ORITAVANCINA;45776147;oritavancin
J01AA06;OXITETRACICLINA ;925952;oxytetracycline
J01MB05;OXOLINICO ACIDO ;19129642;oxolinic acid
J01MA03;PEFLOXACINO ;19027679;pefloxacin
J01RA01;PENICILINAS EN ASOCIACION CON OTROS ANTIBACTERIANOS ;41112508;Penicillin V Oral Solution [Antibiocin]
J01MB04;PIPEMIDICO ACIDO;19010564;pipemidate
J01CR05;"PIPERACILINA; TAZOBACTAM";46275426;piperacillin / tazobactam Injection
J04AK01;PIRAZINAMIDA;1759455;pyrazinamide
J01CA02;PIVAMPICILINA ;19047071;pivampicillin
J01CA08;PIVMECILINAM;19088223;amdinocillin pivoxil
J02AC04;POSACONAZOL;1704139;posaconazole
J04AK08;PRETOMANID;37496482;pretomanid
J01GB10;RIBOSTAMICINA ;36850424;RIBOSTAMYCIN
J04AB04;RIFABUTINA;1777417;rifabutin
J04AB02;RIFAMPICINA;1763204;rifampin
J01FA06;ROXITROMICINA;19063874;roxithromycin
J01GB08;SISOMICINA ;19136044;sisomicin
J01CG01;SULBACTAM;1836241;sulbactam
J01EC02;SULFADIAZINA;1836391;sulfadiazine
J01ED02;SULFALENO ;19136423;sulfalene
J01ED05;SULFAMETOXIPIRIDAZINA ;19000820;sulfamethoxypyridazine
J01CR04;SULTAMICILINA ;43009009;sultamicillin
J01CA15;TALAMPICILINA ;19002077;talampicillin
J01XX11;TEDIZOLID;45775686;tedizolid
J01XA02;TEICOPLANINA;19078399;teicoplanin
J01XA03;TELAVANCINA;40166675;telavancin
J01FA15;TELITROMICINA;1702911;telithromycin
J01AA07;TETRACICLINA;1836948;tetracycline
J01BA02;TIAMFENICOL ;19137362;thiamphenicol
J01CA13;TICARCILINA ;1702364;ticarcillin
J01AA12;TIGECICLINA;1742432;tigecycline
J01XD02;TINIDAZOL ;1702559;tinidazole
J01GB01;TOBRAMICINA;902722;tobramycin
J01EA01;TRIMETOPRIMA;1705674;trimethoprim
J01FA08;TROLEANDOMICINA ;19006043;troleandomycin
J01MA13;TROVAFLOXACINO;1712549;trovafloxacin
J01XA01;VANCOMICINA;1707687;vancomycin
J02AC03;VORICONAZOL;1714277;voriconazole